Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,cancelled_Rides_by_Customer,cancelled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating
12-07-2026 00:32,12:32:47 AM,CNR4773190834,Success,CID8146631,eBike,Kharadi,Pashan,162,78,,,No,,130,Credit Card,5,2.5,4.8
30-07-2026 17:42,05:42:23 PM,CNR5794699148,Canceled by Customer,CID4493542,Auto,Bibwewadi,Vadgaon Budruk,,,Change of plans,,,,,,,,
24-07-2026 13:36,01:36:37 PM,CNR5450509744,Canceled by Driver,CID5213315,Prime Plus,Lohegaon,Dhanori,,,,The customer was coughing/sick,,,,,,,
19-07-2026 22:46,10:46:51 PM,CNR8553852003,Success,CID5456335,Mini,Hinjawadi,Katraj,204,131,,,No,,535,Cash,16,1,3.8
05-07-2026 07:32,07:32:32 AM,CNR2462704163,Success,CID4062179,Mini,Warje,Ambegaon,200,85,,,No,,705,UPI,24,4.5,2
05-07-2026 12:29,12:29:06 PM,CNR3670340613,Success,CID4807424,Bike,Moshi,Pirangut,152,83,,,No,,101,UPI,3,4.7,3.5
03-07-2026 03:19,03:19:34 AM,CNR6501829207,Success,CID4499684,Prime Plus,Narhe,Wakad,245,34,,,No,,973,UPI,25,3.2,4.7
26-07-2026 06:14,06:14:05 AM,CNR3142001224,Driver not found,CID2580321,Prime Sedan,Undri,Hadapsar,,,,,,,,,,,
19-07-2026 18:47,06:47:01 PM,CNR2384816765,Canceled by Driver,CID3111125,Bike,Baner,Magarpatta,,,,The customer was coughing/sick,,,,,,,
23-07-2026 23:44,11:44:25 PM,CNR4626854013,Driver not found,CID5358157,Auto,Warje,Shivajinagar,,,,,,,,,,,
01-07-2026 07:28,07:28:59 AM,CNR9960082492,Driver not found,CID4535406,Bike,Vadgaon Budruk,Punawale,,,,,,,,,,,
31-07-2026 05:08,05:08:07 AM,CNR5836036359,Success,CID3740887,Bike,Moshi,Pashan,225,28,,,No,,86,Credit Card,2,2.5,4.2
26-07-2026 14:19,02:19:26 PM,CNR1980484907,Success,CID3282140,Mini,Ambegaon,Sinhagad Road,251,119,,,No,,517,UPI,19,3.2,5
07-07-2026 15:32,03:32:22 PM,CNR2808459104,Canceled by Customer,CID5378474,Auto,Undri,Yerawada,,,Driver is not moving towards pickup location,,,,,,,,
06-07-2026 03:40,03:40:33 AM,CNR8113301429,Success,CID1571144,Bike,Bhosari,Undri,81,35,,,No,,68,UPI,2,3.5,4.2
06-07-2026 04:27,04:27:18 AM,CNR5636278927,Canceled by Customer,CID2452282,Mini,Sinhagad Road,Kondhwa,,,Wrong Address,,,,,,,,
10-07-2026 14:38,02:38:17 PM,CNR3896021443,Success,CID5637375,Auto,Yerawada,Chinchwad,51,65,,,No,,402,UPI,14,4,2.5
17-07-2026 20:46,08:46:26 PM,CNR6949675869,Success,CID7669441,Prime Plus,Bhosari,Koregaon Park,204,104,,,No,,1155,UPI,33,2,1
13-07-2026 14:30,02:30:31 PM,CNR7959062154,Canceled by Driver,CID2439301,Prime Plus,Viman Nagar,Punawale,,,,The customer was coughing/sick,,,,,,,
10-07-2026 03:52,03:52:12 AM,CNR8329518065,Success,CID7817908,Auto,Shivajinagar,Pisoli,287,98,,,No,,301,UPI,11,5,4.7
19-07-2026 19:43,07:43:48 PM,CNR8551943418,Success,CID7817554,Mini,Vadgaon Budruk,Hinjawadi,289,60,,,No,,398,Debit Card,13,1,3.2
05-07-2026 15:07,03:07:34 PM,CNR4174281738,Success,CID8077128,Auto,Dhankawadi,Warje,131,67,,,No,,320,Cash,10,2,4.5
10-07-2026 16:29,04:29:09 PM,CNR2220403964,Success,CID1908953,Prime Plus,Shivajinagar,Wagholi,99,102,,,No,,777,UPI,20,3.5,2.5
12-07-2026 02:03,02:03:25 AM,CNR1552109400,Canceled by Customer,CID4875844,Prime Plus,Swargate,Pisoli,,,Driver asked to cancel,,,,,,,,
